CARI_KOD,CARI_ISIM,ADRES,IL,ILCE,ENLEM,BOYLAM,TIPI
A5792,31 Aðustos Banaz Uþak,31. AÐUSTOS MH. ÝNÖNÜ CAD. NO:3 ,Usak,BANAZ,38.7419,29.749829,Magaza
A7338,Bahçelievler Muþ,Bahçelievler Cd. Kültür Mh. Geylani Camii Karþýsý No:39N:39,Mus,MERKEZ,38.742295,41.49856,Magaza
H188,Emekçi Sk Kocasinan Kayseri,Ziyagökalp Mh. Emekçi Sokak No:12/FN:12/FN:12/F,Kayseri,KOCASINAN,38.742508,35.438806,Magaza
F792,Eskitaþ Kocasinan Kayseri,Yunus Emre Mh. Baðdat Caddesi No:179/CN:CN:179/N:179/C,Kayseri,KOCASINAN,38.742528,35.45317,Magaza
A2416,Gülþehir  Nevþehir,Çayýr Mh. Terminal Cd.N:1,Nevsehir,GÜLÞEHIR,38.742569,34.620541,Magaza
A6948,Sümer Kayseri ,Yeni Mah. 3542. Sok. No:47,Kayseri,KOCASINAN,38.742613,35.482535,Magaza
A8610,Gültekin Þeker Kayse,Keykubat Mh. Gültekin Sk.N:128/AN:128/AN:128/N:,Kayseri,MELIKGAZI,38.742783,35.4096,Magaza
A3622,Anafartalar Melikgazi Kayseri ,Anafartalar Mah. postane arkasý N:5/AN:5/AN:5/AN:5/AN:5/AN:5/AN:N:54/A,Kayseri,MELIKGAZI,38.743098,35.392384,Magaza
A3504,Keykubat Melikgazi Kayseri,Keykubat Mah. Osman Kavuncu N:343,Kayseri,MELIKGAZI,38.743317,35.413901,Magaza
D009,Yýldýzevler Kocasinan Kayseri,Yýldýzevler Mh. 27/A-B 320. Sokak,Kayseri,KOCASINAN,38.743475,35.541776,Magaza
G226,Sinanpaþa Sinanpaþa Afyon,Akpýnar Mh. Çiðiltepe Caddesi No:30/1N:N:,Afyonkarahisar,SINANPAÞA,38.743569,30.24486,Magaza
B176,Matbaacýlar Sitesi Kocasinan Kayseri,Yenidoðan Mh. 80 B,Kayseri,KOCASINAN,38.743751,35.434283,Magaza
A6723,Konaklar Kayseri,Germir Mah. 425-1 Cad. No: 38/B-CN:N:38/B-C,Kayseri,MELIKGAZI,38.743825,35.546857,Magaza
